央视频道,#genre#
CCTV-1HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8$北京移动
CCTV-1HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/1.m3u8$北京移动
CCTV-2HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8$北京移动
CCTV-2HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/1.m3u8$北京移动
CCTV-3HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8$北京移动
CCTV-4HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/1.m3u8$北京移动
CCTV-5HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8$北京移动
CCTV-6HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8$北京移动
CCTV-7HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226467/1.m3u8$北京移动
CCTV-8HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8$北京移动
CCTV-9HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226465/1.m3u8$北京移动
CCTV-10HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226464/1.m3u8$北京移动
CCTV-11HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226463/1.m3u8$北京移动
CCTV-12HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226462/1.m3u8$北京移动
CCTV-12HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226462/1.m3u8$北京移动
CCTV-13HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/1.m3u8$北京移动
CCTV-14HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226461/1.m3u8$北京移动
CCTV-15HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226460/1.m3u8$北京移动
CCTV-15HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226317/1.m3u8$北京移动
CCTV-15HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226333/1.m3u8$北京移动
CCTV-5+HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226349/1.m3u8$北京移动
CCTV-5+HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226458/1.m3u8$北京移动
CCTV-17HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226459/1.m3u8$北京移动
CGTN纪录HD,http://39.130.215.222:6410/gitv_live/G_CGTVJL-HD/G_CGTVJL-HD.m3u8


CCTV世界地理,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=sjdl
CCTV兵器科技,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=bqkj
